ID,Name,Age,Salary,Department
1,David,35,38707.21,IT
2,Eve,47,113132.98,IT
3,Charlie,63,91985.61,Marketing
4,Eve,50,51158.59,Sales
5,Eve,39,67607.95,HR
6,Bob,23,105263.26,Sales
7,Charlie,55,66200.6,Sales
8,Charlie,63,56867.49,Marketing
9,Charlie,65,45891.36,Sales
10,Eve,55,36774.56,IT
11,David,69,114691.28,IT
12,Charlie,28,89926.56,IT
13,Eve,63,50151.13,Marketing
14,Bob,58,79320.5,IT
15,David,24,109422.3,Marketing
16,Bob,41,77370.95,Finance
17,David,25,56066.67,Marketing
18,Eve,29,55390.23,IT
19,Alice,27,32942.05,Marketing
20,David,28,31983.68,Sales
21,Bob,37,70605.81,IT
22,Eve,55,71781.57,IT
23,David,61,94564.83,Sales
24,Alice,40,118179.62,HR
25,Alice,39,39484.4,HR
26,Charlie,62,30186.17,Sales
27,Charlie,39,35695.37,Marketing
28,Bob,56,63941.61,Finance
29,David,58,102146.6,Finance
30,David,20,52084.68,HR
31,Charlie,52,42702.21,HR
32,David,33,30738.84,IT
33,David,35,83516.63,HR
34,Alice,30,74532.07,HR
35,Charlie,39,91553.3,Marketing
36,Eve,26,88682.26,Finance
37,Charlie,23,89991.19,Finance
38,Eve,64,88423.88,IT
39,Alice,26,47416.05,Sales
40,Bob,35,67819.09,HR
41,David,69,47904.97,Marketing
42,Alice,62,110000.8,Sales
43,David,50,82586.82,Marketing
44,Bob,55,100383.38,Sales
45,Bob,68,54620.36,HR
46,Alice,39,104463.52,Marketing
47,Bob,50,43286.56,Sales
48,Eve,61,30278.07,Sales
49,Bob,46,118594.68,IT
50,David,33,33557.33,Finance
51,David,21,56153.66,IT
52,David,53,51298.65,IT
53,David,27,53439.49,Sales
54,Eve,49,50045.72,IT
55,Charlie,49,40980.22,HR
56,Alice,31,99532.12,HR
57,David,37,97850.2,IT
58,Bob,35,94775.57,Sales
59,David,20,88693.3,Marketing
60,Bob,23,74054.08,Finance
61,Bob,35,82600.46,HR
62,David,49,32775.09,HR
63,Eve,26,72996.82,HR
64,Bob,43,106722.51,Sales
65,Bob,62,48987.21,IT
66,David,68,93711.58,Marketing
67,Bob,59,38558.83,HR
68,Bob,65,36960.31,Sales
69,David,36,96513.73,Finance
70,David,23,57695.78,Sales
71,Alice,19,59979.22,Finance
72,Eve,45,79667.19,Finance
73,Eve,65,99909.28,IT
74,Bob,37,114631.79,Sales
75,Eve,31,53053.03,Finance
76,Bob,50,76065.95,IT
77,Alice,21,72936.17,HR
78,David,45,58366.87,Finance
79,David,54,100526.67,Sales
80,David,59,68520.3,Marketing
81,Eve,47,70208.53,Finance
82,Alice,35,32559.03,Sales
83,Eve,26,76636.51,Sales
84,Eve,24,106064.93,Marketing
85,Alice,53,56138.76,Sales
86,Alice,32,115235.19,IT
87,Alice,44,79472.04,Finance
88,Alice,66,71065.34,Marketing
89,David,22,75589.65,IT
90,Charlie,60,58286.71,Marketing
91,Charlie,55,92559.6,Marketing
92,Alice,22,100894.02,IT
93,Charlie,39,32139.38,Sales
94,Charlie,40,106259.96,HR
95,Alice,30,32506.94,Sales
96,Charlie,23,96408.58,Marketing
97,Eve,64,88029.95,HR
98,Bob,62,89506.99,HR
99,Bob,62,82710.94,Sales
100,Alice,59,117589.37,Marketing
101,David,51,32577.74,Finance
102,Alice,19,97058.8,Finance
103,David,26,64816.74,IT
104,Bob,39,81088.28,Finance
105,Alice,43,86615.72,IT
106,Eve,37,43215.44,Finance
107,Charlie,27,40706.65,Sales
108,David,38,47601.13,Sales
109,Charlie,28,54733.12,Marketing
110,Charlie,57,62034.9,Marketing
111,Alice,38,37129.06,Finance
112,Charlie,35,66573.68,Marketing
113,Eve,19,112934.2,Marketing
114,Charlie,53,96799.57,Finance
115,Alice,46,95802.58,IT
116,Eve,67,62711.41,Finance
117,Bob,39,83944.74,HR
118,Charlie,33,54604.72,Sales
119,Alice,41,64736.93,HR
120,Bob,19,64161.91,Marketing
121,Bob,48,99834.82,Marketing
122,David,43,76956.76,Marketing
123,Eve,24,65712.16,Sales
124,Charlie,53,45199.46,Finance
